Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Primera Instancia nº 5 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 57 74 ,928 65 56 40 ,instancia5.arre@justiciaencanarias.org ,OTIN COUSO  ANTIA
Juzgado de Instrucción nº 1 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 57 60 ,928 65 56 39 ,instruc1.arre@justiciaencanarias.org ,MUÑOZ SANCHEZ  SILVIA
Juzgado de Instrucción nº 2 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 57 47 ,928 65 56 38 ,instruc2.arre@justiciaencanarias.org ,ALONSO HERRERO  JERONIMO
Juzgado de Instrucción nº 3 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 57 33 ,928 65 56 37 ,instruc3.arre@justiciaencanarias.org ,RUIZ MARTINEZ  JOSE LUIS
Juzgado de Instrucción nº 4 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 58 29 ,928 65 56 44 ,instruc4.arre@justiciaencanarias.org ,FIESTRAS GIL  RICARDO
Juzgado de lo Social nº 1 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 58 55 ,928 65 56 46 ,social1.arre@justiciaencanarias.org ,GARCIA MOLINERO  DAVINIA CAROLINA
Juzgado de lo Social nº 3 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 58 69 ,928 65 56 47 ,social3.arre@justiciaencanarias.org ,HIERRO FUSTER  ALVARO MARIA
Juzgado de lo Penal nº 1 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 58 83 ,928 65 56 48 ,penal1.arre@justiciaencanarias.org ,GOMEZ MARTIN  MARGARITA
Juzgado de lo Penal nº 3 ,C/ Rambla Medular  s/n ,35500 ,Arrecife ,Las Palmas ,Canarias ,928 65 58 41 ,928 65 56 45 ,penal3.arre@justiciaencanarias.org ,BRETONES ALCARAZ  FRANCISCO JAVIER
Juzgado de Primera Instancia e Instrucción nº 1 ,Pza. de Vargas  s/n ,35400 ,Arucas ,Las Palmas ,Canarias ,928 21 14 90 ,928 21 14 98 ,mixto1.arucas@justiciaencanarias.org ,CORDOBA LIMON  ALICIA
Juzgado de Primera Instancia e Instrucción nº 2 ,Pza. de Vargas  s/n ,35400 ,Arucas ,Las Palmas ,Canarias ,928 21 15 00 ,928 21 15 03 ,mixto2.arucas@justiciaencanarias.org ,SANCHEZ DE PRADA  ANGELA
Juzgado de Primera Instancia e Instrucción nº 3 ,Pza. de Vargas  s/n ,35400 ,Arucas ,Las Palmas ,Canarias ,928 89 94 69 ,928 89 94 93 ,mixto3.arucas@justiciaencanarias.org ,GONZALEZ MARTIN  DAVID LORENZO
Juzgado de lo Social Único ,C/ Capitán Quesada  3 ,35460 ,Gáldar ,Las Palmas ,Canarias ,928 11 79 00 ,928 11 78 89 ,social.galdar@justiciaencanarias.org ,MARTIN SUAREZ  ANGEL MIGUEL
Juzgado Decano ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 66 11 ,928 42 97 42 ,des.laspalmas@justiciaencanarias.org ,AVELLO FORMOSO  JUAN
Tribunal Superior de Justicia Adscripción Territorial ,Pza. de San Agustín  6. Vegueta ,35001 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 30 64 47  928 30 64 50 ,928 30 64 43 ,Más información ,FRAILE LAFUENTE  ELENA
Tribunal Superior de Justicia Presidencia ,Pza. de San Agustín  6. Vegueta ,35001 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 30 64 47  928 30 64 50 ,928 30 64 43 ,Más información ,LORENZO BRAGADO  JUAN LUIS
Tribunal Superior de Justicia. Sala de lo Civil y Penal ,Pza. de San Agustín  6. Vegueta ,35001 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 30 65 00 ,928 30 65 02 ,civpenaltsj.lpa@justiciaencanarias.org ,BELLINI DOMINGUEZ  CARLA MARIA DEL ROSARIO
Tribunal Superior de Justicia. Sala de lo Contencioso-Administrativo ,Pza. de San Agustín  6. Vegueta ,35001 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 30 64 80 ,928 30 64 86 ,s1contadm.lpa@justiciaencanarias.org ,BORRAS MOYA  JAIME
Tribunal Superior de Justicia. Sala de lo Social ,Pza. de San Agustín  6. Vegueta ,35001 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 30 64 00 ,928 30 64 08 ,socialtsj.lpa@justiciaencanarias.org ,ALVAREZ DEL VAYO ALONSO  YOLANDA
Audiencia Provincial Penal nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 42 99 30  928 11 64 14 ,928 42 97 76 ,s01audprov.lpa@justiciaencanarias.org ,ALEMAN ALMEIDA  SECUNDINO
Audiencia Provincial Penal nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 42 99 56  928 42 99 62 ,928 42 97 77 ,s02audprov.lpa@justiciaencanarias.org ,ACOSTA GONZALEZ  NICOLAS
Audiencia Provincial Civil nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 69 72  928 11 64 14 ,928 42 97 73 ,s03audprov.lpa@justiciaencanarias.org ,FERNANDEZ ALAYA  ROSALIA MERCEDES
Audiencia Provincial Civil nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 42 99 00  928 11 64 14 ,928 42 97 74 ,s04audprov.lpa@justiciaencanarias.org ,COBO PLANA  JUAN JOSE
Audiencia Provincial Civil nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 42 99 15  928 11 64 14 ,928 42 97 75 ,s05audprov.lpa@justiciaencanarias.org ,CABA VILLAREJO  VICTOR
Audiencia Provincial Penal nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 42 99 64  928 11 64 14 ,928 42 97 78 ,s06audprov.lpa@justiciaencanarias.org ,CABELLO DIAZ  INOCENCIA EUGENIA
Audiencia Provincial Presidencia ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 64 14  928 11 64 14 ,928 42 97 79 ,Más información ,MOYA VALDES  EMILIO JESUS JULIO
Juzgado de Primera Instancia nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 85 ,928 42 97 40 ,instancia1lpgc@justiciaencanarias.org ,CRIADO DEL REAL  ENRIQUE
Juzgado de Primera Instancia nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 31 ,928 42 97 10 ,instancia2lpgc@justiciaencanarias.org ,LAZARE GOMEZ  NOEMI
Juzgado de Primera Instancia nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 60 ,928 42 97 23 ,instancia3lpgc@justiciaencanarias.org ,DIAZ RAVELO  ELSA DEL ROSARIO
Juzgado de Primera Instancia nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 47 ,928 42 97 22 ,instancia4lpgc@justiciaencanarias.org ,RALLO VALLUERCA  BEATRIZ
Juzgado de Primera Instancia nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 73 ,928 42 97 24 ,instancia5lpgc@justiciaencanarias.org ,SOCORRO MARRERO  JUAN CARLOS
Juzgado de Primera Instancia nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 20 ,928 42 97 20 ,instancia6lpgc@justiciaencanarias.org ,GONZALEZ MARCOS  TOMAS
Juzgado de Primera Instancia nº 7 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 07 ,928 42 97 19 ,instancia7lpgc@justiciaencanarias.org ,GARCIA ARAGON  JOSE RAMON
Juzgado de Primera Instancia nº 8 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 64 67 ,928 42 97 30 ,instancia8lpgc@justiciaencanarias.org ,LOPEZ MOLINA  MARIANO
Juzgado de Primera Instancia nº 9 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 64 80 ,928 42 97 34 ,instancia9lpgc@justiciaencanarias.org ,EGEA MARRERO  JUAN LUIS
Juzgado de Primera Instancia nº 10 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 88 ,928 42 97 25 ,instancia10lpgc@justiciaencanarias.org ,LOJO CORBAL  SANTIAGO
Juzgado de Primera Instancia nº 11 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 64 93 ,928 42 97 32 ,instancia11lpgc@justiciaencanarias.org ,GOZALVEZ CASTILLO  SONIA
Juzgado de Primera Instancia nº 12 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 06 ,928 42 97 33 ,instancia12lpgc@justiciaencanarias.org ,BAYOLL DELGADO  NATALIA
Juzgado de Primera Instancia nº 13 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 19 ,928 42 97 35 ,instancia13lpgc@justiciaencanarias.org ,SUAREZ RAMOS  JUAN JOSE
Juzgado de Primera Instancia nº 14 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 98 ,928 42 97 41 ,instancia14lpgc@justiciaencanarias.org ,LOPEZ RODRIGUEZ  COSME ANTONIO
Juzgado de Primera Instancia nº 15 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 64 01 ,928 42 97 26 ,instancia15lpgc@justiciaencanarias.org ,ALCAZAR MONTERO  YOLANDA
Juzgado de Primera Instancia nº 16 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 63 34 ,928 42 97 21 ,instancia16lpgc@justiciaencanarias.org ,REYES NEGRIN  JOSE ALEXIS
Juzgado de Primera Instancia nº 17 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 32 92 14 ,928 42 98 04 ,instancia17.lpgc@justiciaencanarias.org ,BONO LOPEZ  PALOMA
Juzgado de Instrucción nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 75 ,928 42 97 55 ,instruc1lpgc@justiciaencanarias.org ,PUEBLA CONTRERAS  ALBERTO
Juzgado de Instrucción nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 88 ,928 42 97 56 ,instruc2lpgc@justiciaencanarias.org ,PASSARO CABRERA  RAFAEL
Juzgado de Instrucción nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 01 ,928 42 97 57 ,instruc3lpgc@justiciaencanarias.org ,MARTIN RODRIGUEZ  TOMAS LUIS
Juzgado de Instrucción nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 14 ,928 42 97 58 ,instruc4lpgc@justiciaencanarias.org ,BARRERA ESPINEL  FLORENCIO LUIS
Juzgado de Instrucción nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 27 ,928 42 97 59 ,instruc5lpgc@justiciaencanarias.org ,VEGA SERRANO  ANA ISABEL DE
Juzgado de Instrucción nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 40 ,928 42 97 60 ,instruc6lpgc@justiciaencanarias.org ,GALVAN MESA  LUIS FRANCISCO
Juzgado de Instrucción nº 7 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 53 ,928 42 97 61 ,instruc7lpgc@justiciaencanarias.org ,GARCIA GARCIA-SOTOCA  FRANCISCO JAVIER
Juzgado de Instrucción nº 8 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 68 66 ,928 42 97 62 ,instruc8lpgc@justiciaencanarias.org ,CALVE MORTES  LUZ
Juzgado de lo Social nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 01 ,928 42 97 00 ,social1lpgc@justiciaencanarias.org ,LOPEZ FERNANDEZ  GEMMA
Juzgado de lo Social nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 14 ,928 42 97 01 ,social2lpgc@justiciaencanarias.org ,BATISTA MACHIN  VENANCIO CARMELO
Juzgado de lo Social nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 27 ,928 42 97 02 ,social3lpgc@justiciaencanarias.org ,ARELLANO MARTINEZ  MARIA ROSARIO
Juzgado de lo Social nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 40 ,928 42 97 03 ,social4lpgc@justiciaencanarias.org ,FONS CARBONELL  MARGARITA ROSA
Juzgado de lo Social nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 53 ,928 42 97 04 ,social5lpgc@justiciaencanarias.org ,CALATAYUD CHOLLET  BERTRAND FRANCISCO
Juzgado de lo Social nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 66 ,928 42 97 05 ,social6lpgc@justiciaencanarias.org ,AGEA PLA  VIRGINIA
Juzgado de lo Social nº 7 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 79 ,928 42 97 06 ,social7lpgc@justiciaencanarias.org ,TOUBES TORRES  RAMON JESUS
Juzgado de lo Social nº 8 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 60 92 ,928 42 97 07 ,social8lpgc@justiciaencanarias.org ,MANSO ABIZANDA  GUMERSINDO PEDRO
Juzgado de lo Social nº 9 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 05 ,928 42 97 08 ,social9lpgc@justiciaencanarias.org ,ROCIO ALAMO  JENNIFER
Juzgado de lo Social nº 10 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 18 ,928 42 97 09 ,social10lpgc@justiciaencanarias.org ,ERCILLA GARCIA  JAVIER
Juzgado de lo Social nº 11 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 98 12 ,C/ Málaga  2 ,social11lpgc@justiciaencanarias.org ,MAS CARRILLO  MARINA
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 44 ,928 42 97 11 ,conten1lpgc@justiciaencanarias.org ,SILOS LOPEZ DE HARO  ALFONSO
Juzgado de lo Contencioso-Administrativo nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 56 ,928 42 97 12 ,conten2lpgc@justiciaencanarias.org ,RAMIREZ EUGENIO  MARIA ESPERANZA
Juzgado de lo Contencioso-Administrativo nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 67 ,928 42 97 13 ,conten3lpgc@justiciaencanarias.org ,ROSARIO PALENZUELA  MARIA OLIMPIA DEL
Juzgado de lo Contencioso-Administrativo nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 78 ,928 42 97 14 ,conten4lpgc@justiciaencanarias.org ,MONTE BLANCO  MARIA DEL CARMEN
Juzgado de lo Contencioso-Administrativo nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 61 89 ,928 42 97 15 ,conten5lpgc@justiciaencanarias.org ,TEBA GARCIA  ANGEL
Juzgado de lo Contencioso-Administrativo nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 62 01 ,928 42 97 16 ,conten6lpgc@justiciaencanarias.org ,TOVAR DE LA FE  MARIA DEL SAGRARIO
Juzgado de lo Mercantil nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 48 ,928 42 97 37 ,mercanuno.lpa@justiciaencanarias.org ,LOPEZ VILLARRUBIA  ALBERTO
Juzgado de lo Mercantil nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 61 ,928 42 97 38 ,mercantildos.lpa@justiciaencanarias.org ,FERNANDEZ GARCIA  GUILLERMO
Juzgado de lo Mercantil nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 89 96 68 ,C/ Málaga  2 ,mercantiltres.lpa@justiciaencanarias.org ,MARTINEZ-UCEDA CALATRAVA  ANTONIO CARLOS
Juzgado de Violencia sobre la Mujer nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 66 87 ,928 42 97 48 ,vsm1lpgc@justiciaencanarias.org ,OCAÑA GARCIA  LUIS FERNANDO
Juzgado de Violencia sobre la Mujer nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 66 75 ,928 42 97 47 ,vsm2lpgc@justiciaencanarias.org ,DIAZ VELAZQUEZ  MARIA AUXILIADORA
Juzgado de lo Penal nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 13 ,928 42 97 50 ,penal1lpgc@justiciaencanarias.org ,RAMOS SAENZ  MARIA GABRIELA
Juzgado de lo Penal nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 25 ,928 42 97 51 ,penal2lpgc@justiciaencanarias.org ,OLIVA GUTIERREZ  MONICA
Juzgado de lo Penal nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 37 ,928 42 97 52 ,penal3lpgc@justiciaencanarias.org ,GALLEGO ORTIZ  JUAN
Juzgado de lo Penal nº 4 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 49 ,928 42 97 53 ,penal4lpgc@justiciaencanarias.org , 
Juzgado de lo Penal nº 5 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 61 ,928 42 97 54 ,penal5lpgc@justiciaencanarias.org ,PEÑA HERNANDEZ  VIRGINIA
Juzgado de lo Penal nº 6 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 67 01 ,928 42 97 49 ,penal6lpgc@justiciaencanarias.org ,SUAREZ ACOSTA  NATALIA PAULA
Juzgado de Vigilancia Penitenciaria nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 43  928 11 66 11 ,928 42 97 36 ,vigilpen.lpa@justiciaencanarias.org ,SANCHEZ PEREZ  MARIA BELEN
Juzgado de Vigilancia Penitenciaria nº 3 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 59 37 ,928 42 98 03 ,vigilpen3.lpa@justiciaencanarias.org ,DIAZ TEJERA  ARCADIO
Juzgado de Menores nº 1 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 66 63 ,928 42 97 46 ,menores1.lpa@justiciaencanarias.org ,MARTEL RODRIGUEZ  REYES DEL CARMEN
Juzgado de Menores nº 2 ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 65 78 ,928 42 97 39 ,menores2.lpa@justiciaencanarias.org ,MARTINEZ SANCHEZ  MERCEDES
Registro Civil Único ,C/ Málaga  2 ,35016 ,Palmas de Gran Canaria (Las) ,Las Palmas ,Canarias ,928 11 62 12 ,928 42 97 17 ,registrociv.lpa@justiciaencanarias.org ,SIMON RODRIGUEZ  CARMEN MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Secundino Alonso  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 93 86  928 89 94 21 ,928 89 93 87 ,mix1.ptorosario@justiciaencanarias.org ,CLIMENT DOMINGUEZ  JAIME
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Secundino Alonso  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 93 96  928 89 94 13 ,928 89 93 85 ,mix2.ptorosario@justiciaencanarias.org ,RODRIGUEZ RODRIGUEZ  MARGARITA
Juzgado de Primera Instancia e Instrucción nº 3 ,C/ Secundino Alonso  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 94 30 ,928 89 94 28 ,mix3.ptorosario@justiciaencanarias.org ,AGUIAR VIDAL  ANDREA
Juzgado de Primera Instancia e Instrucción nº 4 ,C/ Secundino Alonso  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 94 49 ,928 89 94 48 ,mix4.ptorosario@justiciaencanarias.org ,VALLEDOR HORMAZABAL  IGNACIO
Juzgado de Primera Instancia e Instrucción nº 5 ,C/ León y Castillo  42 ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 93 48 ,928 89 93 59 ,mix5.ptorosario@justiciaencanarias.org , 
Juzgado de Primera Instancia e Instrucción nº 6 ,C/ León y Castillo  42 ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 89 93 63 ,928 89 93 71 ,mix6.ptorosario@justiciaencanarias.org ,ALIAGA HERRERA  SERGIO
Juzgado de Primera Instancia e Instrucción nº 7 ,C/ Los Camelleros  esq. C/ Los Emigrantes ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 30 73 17  928 30 73 26 ,928 30 73 29 ,mix7.ptorosario@justiciaencanarias.org ,GARCIA VALLINA  ELSA
Juzgado de lo Social nº 2 ,C/ León y Castillo  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 11 76 50 ,928 11 76 62 ,soc2.ptorosario@justiciaencanarias.org ,SOLAR RODRIGUEZ  GUILLERMO
Juzgado de lo Social nº 4 ,C/ Los Camelleros  esq. C/ Los Emigrantes ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 30 73 30 ,928 30 73 42 ,soc4.ptorosario@justiciaencanarias.org ,MERIDA MUÑOZ  VICTOR
Juzgado de lo Penal nº 2 ,C/ León y Castillo  s/n ,35600 ,Puerto del Rosario ,Las Palmas ,Canarias ,928 11 77 00  928 11 76 94 ,928 11 76 80 ,pen2.ptorosario@justiciaencanarias.org ,BUENDIA FLEITAS  ALICIA MARIA
Juzgado de Primera Instancia nº 1 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 68 ,928 72 46 80 ,instancia1.sbar@justiciaencanarias.org ,LOBON LACUEVA  CARLOS
Juzgado de Primera Instancia nº 2 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 41 ,928 72 46 52 ,instancia2.sbar@justiciaencanarias.org , 
Juzgado de Primera Instancia nº 3 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 54 ,928 72 46 59 ,instancia3.sbar@justiciaencanarias.org ,RODRIGUEZ LARREA  IBAN
Juzgado de Primera Instancia nº 4 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 81 ,928 72 46 86 ,instancia4.sbar@justiciaencanarias.org ,SUAREZ RAMOS  CARLOS
Juzgado de Primera Instancia nº 5 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 19 ,928 72 46 24 ,instancia5.sbar@justiciaencanarias.org ,MARTINEZ GOMEZ  MATIAS
Juzgado de Instrucción nº 1 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 47 26 ,928 72 47 38 ,instruc1.sbar@justiciaencanarias.org ,LORA PEON  RAQUEL
Juzgado de Instrucción nº 2 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 47 10 ,928 72 47 15 ,instruc2.sbar@justiciaencanarias.org ,ALVAREZ RIQUELME  RODRIGO
Juzgado de Instrucción nº 3 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 11 73 00 ,928 11 72 99 ,instruc3.sbar@justiciaencanarias.org ,RAMIREZ DE VERGER VARGAS  FRANCISCO JAVIER
Juzgado de Violencia sobre la Mujer nº 1 ,Pza. de la Constitución  s/n (Maspalomas) ,35100 ,San Bartolomé de Tirajana ,Las Palmas ,Canarias ,928 72 46 96 ,928 72 47 01 ,vsm1.sbar@justiciaencanarias.org ,MORENO VALENCIANO  ANA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Lepanto  2 ,35450 ,Santa María de Guía de Gran Canaria ,Las Palmas ,Canarias ,928 21 14 57 ,928 21 14 58 ,mixto1.guia@justiciaencanarias.org ,RODRIGUEZ LOPEZ  MARIA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ José Sanso Enrique  15 ,35450 ,Santa María de Guía de Gran Canaria ,Las Palmas ,Canarias ,928 21 14 32 ,928 21 14 35 ,mixto2.guia@justiciaencanarias.org ,MIZYUK MIZYUK  TATIANA
